类型,应用,地址信息,备注,,,,,,,,,,,,,,,,,,,,,,,
公共组件,nacos,http://192.168.13.10:8848/nacos     没有密码,"部署目录：/data1/semptian/service/nacos
,垃圾邮件识别-在线训练,"192.168.13.30-31(online:5214, algorithm:5113)","部署目录：/data1/semptian/service/ai-v6.4
启动命令：/data1/semptian/service/deye-spam-email-online-training-v6.2.3.4-assembly/bin/start.sh']
关闭命令：/data1/semptian/service/deye-spam-email-online-training-v6.2.3.4-assembly/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,垃圾邮件识别-算法,"192.168.13.30-31(online:5214, algorithm:5113)","部署目录：/data1/semptian/service/ai-v6.4
启动命令：/data1/semptian/service/deye-spam-email-algorithm-v6.2.3.7-assembly/bin/start.sh
关闭命令：/data1/semptian/service/deye-spam-email-algorithm-v6.2.3.7-assembly/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,银行短信识别,192.168.13.30-31:9025，192.168.13.11,"部署目录：/data1/semptian/service/ai-6.4
查看命令：docker ps -a
关闭命令：docker ps -q | xargs -r docker stop
启动命令：docker ps -a -q | xargs -r docker start
重启命令：docker ps -a -q | xargs -r docker restart",,,,,,,,,,,,,,,,,,,,,,,
,高频词服务,192.168.13.30-31:9026，192.168.13.11,,,,,,,,,,,,,,,,,,,,,,,,
,航班信息识别,192.168.13.30-31:9023，192.168.13.11,,,,,,,,,,,,,,,,,,,,,,,,
运维监控,dataEase,192.168.13.8,"url:http://192.168.13.8:8100/#/data/datasource               admin/DataEase@123456
部署目录：/data1/semptian/service/dataease/dataease2.0
dataease-mysql：192.168.13.8     root/123456",,,,,,,,,,,,,,,,,,,,,,,
,python,192.168.13.8,部署目录：/semptian/service-6.4/deye-ops-python/,,,,,,,,,,,,,,,,,,,,,,,
,运维监控后端,192.168.13.8,部署目录：/data1/semptian/service/deye-ops-web-v6.4.0.2,,,,,,,,,,,,,,,,,,,,,,,
,运维监控前端,192.168.13.10,部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
,调度中心,192.168.13.8,"部署目录：/data1/semptian/service/deye-ops-job-admin-6.4.0
登录地址： http://192.168.13.8:9081/job-admin/",,,,,,,,,,,,,,,,,,,,,,,
,调度中心执行器,192.168.13.8,部署目录：/data1/semptian/service/deye-ops-job-executor-6.4.0,,,,,,,,,,,,,,,,,,,,,,,
,登录地址,http://192.168.13.10:6062/#/home,user1/123456,,,,,,,,,,,,,,,,,,,,,,,
上线测试用例,测试用例,192.168.13.6,测试用例目录:/data2/version/test_case,,,,,,,,,,,,,,,,,,,,,,,
VoIP数据恢复应用,前端,192.168.13.10, 部署目录：/semptian/web,,,,,,,,,,,,,,,,,,,,,,,
,VoIP数据恢复应用web,192.168.13.7:9866/voip-data-recovery," 部署目录：/data1/semptian/service/deye-voip-data-recovery-v6.4.9.01
启动命令：sh /data1/semptian/service/deye-voip-data-recovery-v6.4.9.01/bin/start.sh
关闭命令：sh /data1/semptian/service/deye-voip-data-recovery-v6.4.9.01/bin/stop.sh",,,,,,,,,,,,,,,,,,,,,,,
,采集适配器【测试用】,192.168.13.76,"3.3 VoIP通话采集适配器，修改topicPefix: deye_ods_voip_dr_test，路径为：/data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-dr-callvoip
	3.4 VoIP传真采集适配器，修改topicPefix: deye_ods_voip_fax_dr_test，路径为：/data/semptian/deye-dataprotocol-file-adapter-v6.2.3.20-dr-fax/",,,,,,,,,,,,,,,,,,,,,,,
,案件入库【测试用】,192.168.13.25,/data/semptian/deye-case-dataload-v6.4.6.02,,,,,,,,,,,,,,,,,,,,,,,
,案件补录程序,192.168.13.25," 部署目录：/data/semptian/deye-case-hit-data-supplement-v6.4.9.02
启动命令：sh /data/semptian/deye-case-hit-data-supplement-v6.4.9.02/bin/start.sh
关闭命令：sh /data/semptian/deye-case-hit-data-supplement-v6.4.9.02/bin/stop.sh
NFS挂载命令：
mount -t nfs 192.168.8.55:/voice /voice
mount -t nfs 192.168.8.58:/data/phone/mass4case/csv/call /data/semptian/data/chds/csv/call
mount -t nfs 192.168.8.58:/data/phone/mass4case/csv/fax /data/semptian/data/chds/csv/fax",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
